Id,Age,Height_Cm,Weight_Kgs,Overall_Rating,Potential,Value_Euro,International_Reputation(1-5),Skill_Moves(1-5),Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,Freekick_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing_Tackle,Sliding_Tackle,Gk_Diving,Gk_Handling,Gk_Kicking,Gk_Positioning,Gk_Reflexes
195262,27,187.96,89.8,68,69,1000000,1,2,39,65,69,58,64,58,55,46,51,63,62,75,60,64,55,74,64,68,88,62,73,39,67,62,59,72,24,20,14,8,16,13,9,8
239550,21,185.42,79.8,68,82,1800000,1,2,35,25,61,50,33,41,31,30,47,50,53,54,47,64,50,48,74,58,84,25,70,66,24,36,42,59,67,70,69,11,14,13,13,6
237502,21,185.42,74.8,68,78,1500000,1,3,63,64,48,66,60,74,67,50,60,72,85,77,80,60,70,69,52,61,66,65,42,22,48,68,66,62,27,33,33,8,7,12,13,6
230334,27,154.94,79.8,68,68,750000,1,2,67,51,64,68,42,54,53,52,70,59,62,68,53,62,64,61,72,69,67,50,71,65,53,56,58,62,66,74,70,8,9,10,7,11
229054,28,187.96,84.8,68,68,750000,1,2,30,23,74,56,22,49,30,27,49,55,33,33,37,67,38,37,37,67,81,18,82,61,30,31,38,61,66,70,66,12,9,9,10,10
223934,26,175.26,71.2,68,70,900000,1,3,61,25,70,63,24,63,54,41,54,64,75,76,70,63,71,30,67,67,66,31,71,68,63,55,47,54,69,69,66,7,13,9,11,13
179899,31,170.18,67.1,68,68,575000,1,3,70,51,37,64,57,67,66,65,59,69,74,69,80,68,89,73,78,84,64,68,71,62,57,76,63,69,68,67,64,11,6,7,12,13
177083,32,175.26,69.9,68,68,575000,1,2,66,46,52,62,49,62,53,62,53,64,77,73,77,63,80,67,81,81,57,54,60,67,52,55,62,64,65,67,68,11,9,9,14,10
238779,22,193.04,91.2,68,74,1000000,1,2,29,21,73,57,35,35,25,27,51,52,47,51,49,62,39,41,33,45,90,17,74,62,23,37,35,58,67,67,66,12,8,12,9,10
195258,30,182.88,78,68,68,675000,1,2,65,42,59,65,62,58,70,66,61,65,64,72,61,63,59,78,63,82,71,70,74,64,52,51,54,70,66,69,67,13,11,8,16,7
185018,29,152.4,73,68,68,875000,1,3,70,60,40,72,68,64,72,74,73,67,75,61,58,70,76,72,33,81,66,74,64,64,61,65,64,63,60,65,60,7,8,10,6,9
214969,28,175.26,71.2,68,68,725000,1,2,49,39,62,74,49,60,49,50,70,65,63,65,57,65,80,67,76,68,57,47,77,67,58,51,49,66,58,68,67,7,7,8,12,11
