Play_Id,Age,Height_Cm,Weight_Kgs,Overall_Rating,Potential,Value_Euro,International_Reputation_1_5,Skill_Moves_1_5
165191,32,185.42,84.8,71,71,2100000,2,3
225863,21,154.94,68,71,80,3200000,1,3
215111,29,152.4,76.2,71,71,2400000,1,3
207943,26,152.4,68.9,71,74,2900000,1,3
243270,22,154.94,66.2,71,79,3500000,1,3
241990,26,165.1,60.8,71,72,2800000,1,3
222022,25,175.26,72.1,71,75,2600000,1,3
199238,30,185.42,78,71,71,1800000,1,2
188485,27,185.42,94.8,71,73,2400000,1,2
187205,32,172.72,64,71,71,1600000,1,3
172613,32,152.4,71.2,71,71,1800000,1,3
231493,24,172.72,69.9,71,76,,1,3
224836,22,203.2,92.1,71,79,2600000,1,1
215615,27,187.96,78.9,71,72,2700000,1,3
203327,30,190.5,88,71,71,2400000,1,3
197439,28,190.5,82.1,71,71,1700000,2,1
175934,30,182.88,69.9,71,71,1600000,1,1
240702,23,190.5,78.9,71,76,3200000,1,3
177981,32,154.94,79.8,71,71,1600000,2,3
223293,26,170.18,64,71,74,2400000,1,3
156221,34,187.96,81.2,71,71,725000,2,2
216381,25,170.18,73.9,71,76,2600000,1,2
210237,24,172.72,72.1,71,74,3000000,1,3
206141,27,198.12,87.1,71,71,2600000,1,3
229948,23,185.42,78,71,79,3500000,1,3
216380,23,152.4,64.9,71,74,2500000,1,4
190779,32,175.26,69.9,71,71,2000000,2,3
240699,21,167.64,64.9,71,78,3400000,1,3
230459,31,172.72,64.9,71,71,2200000,1,3
211515,23,187.96,79.8,71,79,2600000,1,1
191034,28,172.72,74.8,71,71,2500000,1,3
204346,24,167.64,64,71,76,3200000,1,3
198970,28,187.96,83,71,72,2200000,2,2
194361,31,182.88,77.1,71,71,1600000,1,2
183353,30,182.88,72.1,71,71,1700000,1,3
171321,31,152.4,78,71,71,2000000,1,3
206649,36,193.04,93.9,71,71,550000,1,2
201529,27,185.42,79.8,71,71,2100000,1,2
192824,33,154.94,68.9,71,71,1800000,1,3
185144,30,182.88,72.1,71,71,2400000,1,3
241720,23,187.96,76.2,71,78,3400000,1,3
196151,34,172.72,68.9,71,71,725000,1,3
193847,30,193.04,88.9,71,71,1800000,2,2
222775,24,185.42,88,71,76,2600000,1,3
146487,34,152.4,73.9,71,71,1400000,1,4
198455,28,182.88,74.8,71,71,1900000,1,3
227638,22,185.42,86.2,71,79,3600000,1,3
213302,24,170.18,68.9,71,76,3200000,1,3
207669,28,175.26,74.8,71,71,2500000,1,3
190516,28,172.72,73,71,71,2500000,1,4
232756,21,185.42,74.8,71,83,3800000,1,2
213556,30,154.94,73,71,71,2300000,1,3
205363,25,187.96,81.2,71,72,2300000,1,2
189490,31,175.26,69.9,71,71,1600000,1,3
229682,21,190.5,72.1,71,83,3800000,1,2
212018,26,182.88,74.8,71,73,2400000,1,2
211250,24,193.04,88.9,71,77,2800000,1,2
244268,22,175.26,69.9,71,78,3300000,1,3
239148,27,185.42,82.1,71,72,2700000,1,3
230188,27,152.4,78,71,71,2000000,1,2
219180,24,190.5,82.1,71,75,2600000,1,2
125995,35,182.88,74.8,71,71,1100000,1,3
244778,19,182.88,69.9,71,84,4200000,1,4
219690,35,185.42,78.9,71,71,725000,1,2
201514,26,152.4,73.9,71,72,2800000,1,3
194089,29,185.42,79.8,71,71,2400000,1,3
207657,27,175.26,69.9,71,72,2700000,1,3
204841,32,154.94,73,71,71,1900000,1,3
201257,29,175.26,74.8,71,71,1900000,1,3
244264,22,182.88,78,71,81,3800000,1,3
201000,27,187.96,77.1,71,72,2200000,1,3
236071,35,152.4,71.2,71,71,675000,1,3
232487,26,152.4,74.8,71,74,2500000,1,3
157479,35,175.26,72.1,71,71,675000,1,3
212519,31,170.18,67.1,71,71,2200000,1,3
208679,30,187.96,79.8,71,71,1600000,1,1
187942,30,193.04,86.2,71,71,2400000,1,3
184614,30,195.58,79.8,71,71,2400000,1,2
178470,31,154.94,71.2,71,71,2200000,1,3
235814,26,154.94,71.2,71,74,,1,2
232230,24,175.26,69.9,71,78,2800000,1,3
219174,27,182.88,72.1,71,71,2500000,1,3
230181,35,152.4,68.9,71,71,675000,1,2
226085,23,187.96,73.9,71,80,2800000,1,1
235812,25,193.04,82.1,71,75,3100000,1,3
228644,26,175.26,68,71,73,2400000,1,2
54051,34,170.18,77.1,71,71,1400000,2,3
163619,31,172.72,73,71,71,2200000,1,3
218659,23,182.88,69.9,71,80,3100000,1,3
212771,25,170.18,66.2,71,73,2900000,1,3
235554,21,182.88,69.9,71,78,3400000,1,3
233250,22,182.88,74.8,71,80,3700000,1,3
205858,31,175.26,81.2,71,71,2200000,1,3
235041,31,154.94,68.9,71,71,1600000,1,2
159265,38,187.96,81.2,71,71,160000,1,1
214817,25,154.94,77.1,71,76,3200000,1,3
204320,29,175.26,71.2,71,71,2400000,1,3
196896,33,152.4,69.9,71,71,1800000,1,3
232223,22,175.26,68,71,78,2800000,1,3
34079,38,175.26,66.2,71,71,270000,3,3
209695,24,182.88,74.8,71,78,3300000,1,4
240409,27,182.88,77.1,71,74,2500000,1,2
230681,21,187.96,84.8,71,83,3700000,1,3
213017,23,185.42,73.9,71,79,3000000,1,2
235544,25,185.42,77.1,71,74,2500000,1,2
168984,34,175.26,73,71,71,1500000,2,3
201240,25,175.26,69.9,71,74,3000000,1,3
199960,27,175.26,67.1,71,71,2500000,1,3
236823,21,154.94,79.8,71,78,2500000,1,1
208919,23,170.18,60.8,71,79,3500000,1,4
139799,38,185.42,79.8,71,71,850000,1,3
209430,25,154.94,73,71,73,2900000,1,3
235029,20,154.94,77.1,71,83,4300000,1,3
223765,23,182.88,78.9,71,75,2600000,1,2
177684,30,187.96,79.8,71,71,1800000,1,2
189459,28,175.26,77.1,71,71,2500000,1,3
184338,29,182.88,79.8,71,71,1900000,1,2
